Domain	Problem	Exploration	Estimation	Plan Type	State	Final State	Initial State Average	Initial State Minmax	Final State Average	Final State Minmax	Plan	Plan Cost	Plan Value	Number of States with Same Value	Search Time
benchmarks-deception/dwr/p01/domain.pddl	benchmarks-deception/dwr/p01/template.pddl	greedy	heuristic	shortest	centroid	['(at r1 l1)', '(top pallet p1)', '(not (top pallet p2))', '(not (top pallet q1))', '(top pallet q2)', '(on ca pallet)', '(not (on cb pallet))', '(on cc pallet)', '(unloaded r1)', '(in ca p2)', '(top ca p2)', '(in cb q1)', '(top cb q1)', '(empty k1)', '(on cc cc)', '(empty k2)', '(in cc q1)', '(achieved1 )', '(not (achieved0 ))']	13.0	13.0	1000.0	1000.0	['take k1 cc p1 cb l1 (1)', 'put k1 cc q1 pallet l1 (1)', 'take k1 cb p1 ca l1 (1)', 'put k1 cc q1 cc l1 (1)', 'take k1 ca p1 pallet l1 (1)', 'load k1 ca r1 l1 (1)', 'move r1 l1 l2 (1)', 'unload k2 ca r1 l2 (1)', 'put k2 ca q2 pallet l2 (1)', 'move r1 l2 l1 (1)', 'load k1 cb r1 l1 (1)', 'move r1 l1 l2 (1)', 'unload k2 cb r1 l2 (1)', 'put k2 cb q2 cb l2 (1)', 'incaq2-incbq2-inccq1  (1)', 'take k2 ca q2 pallet l2 (1)', 'put k2 ca p2 pallet l2 (1)', 'take k2 cb q2 cb l2 (1)', 'load k2 cb r1 l2 (1)', 'move r1 l2 l1 (1)', 'unload k1 cb r1 l1 (1)', 'put k1 cb q1 cb l1 (1)']	22	957.086956522	8	0.174283027649
benchmarks-deception/dwr/p02/domain.pddl	benchmarks-deception/dwr/p02/template.pddl	greedy	heuristic	shortest	centroid	['(at r1 l4)', '(on ca pallet)', '(not (on cb pallet))', '(on cc pallet)', '(not (on cd pallet))', '(not (on ce pallet))', '(on cf pallet)', '(not (top pallet p1))', '(not (top pallet p2))', '(not (top pallet p3))', '(unloaded r1)', '(in ca p1)', '(in cb p1)', '(in cc p3)', '(in ce p1)', '(in cf p2)', '(on cb ca)', '(on cb cb)', '(top cc p3)', '(holding k1 cd)', '(on ce ce)', '(empty k1)', '(empty k2)', '(top cf p2)', '(empty k3)', '(not (achieved1 ))', '(not (achieved0 ))']	34.0	34.0	1000.0	1000.0	['put k2 cf p2 pallet l3 (1)', 'take k1 ce p1 cd l1 (1)', 'put k1 ce p1 ce l1 (1)', 'take k1 cd p1 cc l1 (1)', 'put k1 ce p1 ce l1 (1)', 'take k1 cc p1 cb l1 (1)', 'put k1 cb p1 cb l1 (1)', 'move r1 l2 l1 (1)', 'load k1 cc r1 l1 (1)', 'move r1 l1 l2 (1)', 'move r1 l2 l3 (1)', 'move r1 l3 l4 (1)', 'unload k3 cc r1 l4 (1)', 'put k3 cc p3 pallet l4 (1)']	14	935.6	32	0.195155143738
benchmarks-deception/dwr/p04/domain.pddl	benchmarks-deception/dwr/p04/template.pddl	greedy	heuristic	shortest	centroid	['(at r1 l1)', '(not (top pallet p1))', '(not (top pallet p2))', '(top pallet q1)', '(not (top pallet q2))', '(on ca pallet)', '(on cb pallet)', '(on cc pallet)', '(unloaded r1)', '(top cd q2)', '(in ca q2)', '(on cc ca)', '(on cb cb)', '(in cb p1)', '(empty k1)', '(top cc p2)', '(empty k2)', '(in cc p2)', '(not (achieved1 ))', '(achieved0 )']	12.0	13.0	501.0	1000.0	['take k1 cc p1 ca l2 (1)', 'load k1 cc r1 l2 (1)', 'take k1 ca p1 cb l2 (1)', 'move r1 l2 l1 (1)', 'unload k2 cc r1 l1 (1)', 'put k2 cc p2 pallet l1 (1)', 'put k1 cb p1 cb l2 (1)', 'move r1 l1 l2 (1)', 'load k1 ca r1 l2 (1)', 'move r1 l2 l1 (1)', 'unload k2 ca r1 l1 (1)', 'put k2 ca q2 pallet l1 (1)', 'take k2 cc p2 pallet l1 (1)', 'put k2 cc q2 ca l1 (1)', 'incaq2-inccq2  (1)', 'take k2 cc q2 cd l1 (1)', 'put k2 cc p2 pallet l1 (1)']	17	945.111111111	8	0.182284116745
benchmarks-deception/dwr/p08/domain.pddl	benchmarks-deception/dwr/p08/template.pddl	greedy	heuristic	shortest	centroid	['(at r1 l2)', '(top pallet p1)', '(not (top pallet p2))', '(not (top pallet q1))', '(top pallet q2)', '(not (on ca pallet))', '(on cb pallet)', '(on cc pallet)', '(unloaded r1)', '(in ca p2)', '(top ca p2)', '(in cb p2)', '(on cb cb)', '(empty k1)', '(on cc cc)', '(empty k2)', '(in cc q1)', '(not (achieved1 ))', '(not (achieved0 ))']	13.0	13.0	1000.0	1000.0	['take k1 cc p1 cb l1 (1)', 'put k1 cc q1 pallet l1 (1)', 'take k1 cb p1 ca l1 (1)', 'load k1 cb r1 l1 (1)', 'take k1 ca p1 pallet l1 (1)', 'move r1 l1 l2 (1)', 'unload k2 cb r1 l2 (1)', 'put k2 cb p2 pallet l2 (1)', 'put k1 cc q1 cc l1 (1)', 'move r1 l2 l1 (1)', 'load k1 ca r1 l1 (1)', 'move r1 l1 l2 (1)', 'put k2 cb p2 cb l2 (1)', 'unload k2 ca r1 l2 (1)', 'put k2 ca p2 ca l2 (1)']	15	938.3125	2	0.176146030426
benchmarks-deception/dwr/p10/domain.pddl	benchmarks-deception/dwr/p10/template.pddl	greedy	heuristic	shortest	centroid	['(at r2 l2)', '(at r1 l1)', '(not (top pallet p1))', '(not (top pallet p2))', '(not (top pallet q1))', '(top pallet q2)', '(on ca pallet)', '(on cb pallet)', '(on cc pallet)', '(unloaded r1)', '(in ca q1)', '(top ca q1)', '(in cb p2)', '(top cb p2)', '(empty k1)', '(top cc q1)', '(empty k2)', '(in cc q1)', '(not (achieved1 ))', '(not (achieved0 ))']	15.0	15.0	7.0	8.0	['move r2 l1 l2 (1)', 'take k1 cc p1 cb l1 (1)', 'put k1 cc q1 pallet l1 (1)', 'take k1 cb p1 ca l1 (1)', 'load k1 cb r1 l1 (1)', 'take k1 ca p1 ca l1 (1)', 'move r1 l1 l2 (1)', 'unload k2 cb r1 l2 (1)', 'put k2 cb p2 pallet l2 (1)', 'put k1 ca q1 ca l1 (1)', 'move r1 l2 l1 (1)']	11	917.916666667	40	0.18368601799
benchmarks-deception/dwr/p01/domain.pddl	benchmarks-deception/dwr/p01/template.pddl	greedy	heuristic	shortest	centroid	['(at r1 l2)', '(top pallet p1)', '(not (top pallet p2))', '(not (top pallet q1))', '(not (top pallet q2))', '(on ca pallet)', '(on cb pallet)', '(on cc pallet)', '(unloaded r1)', '(in ca q2)', '(top ca q2)', '(in cb p2)', '(top cb p2)', '(empty k1)', '(on cc cc)', '(empty k2)', '(in cc q1)', '(achieved1 )', '(not (achieved0 ))']	15.0	17.0	501.0	1000.0	['take k1 cc p1 cb l1 (1)', 'put k1 cc q1 pallet l1 (1)', 'take k1 cb p1 ca l1 (1)', 'load k1 cb r1 l1 (1)', 'take k1 ca p1 pallet l1 (1)', 'move r1 l1 l2 (1)', 'unload k2 cb r1 l2 (1)', 'put k2 cb p2 pallet l2 (1)', 'put k1 cc q1 cc l1 (1)', 'move r1 l2 l1 (1)', 'load k1 ca r1 l1 (1)', 'move r1 l1 l2 (1)', 'unload k2 ca r1 l2 (1)', 'put k2 ca q2 pallet l2 (1)', 'take k2 cb p2 pallet l2 (1)', 'put k2 cb q2 ca l2 (1)', 'incaq2-incbq2-inccq1  (1)', 'take k2 cb q2 ca l2 (1)', 'put k2 cb p2 pallet l2 (1)']	19	950.75	16	0.165230035782
benchmarks-deception/dwr/p05/domain.pddl	benchmarks-deception/dwr/p05/template.pddl	greedy	heuristic	shortest	centroid	['(at r1 l1)', '(not (top pallet p1))', '(not (top pallet p2))', '(top pallet q1)', '(top pallet q2)', '(not (on ca pallet))', '(on cb pallet)', '(on cc pallet)', '(unloaded r1)', '(on cc cd)', '(in ca p2)', '(top ca p2)', '(on cb cb)', '(in cb p1)', '(empty k1)', '(top cc p2)', '(empty k2)', '(in cc p2)', '(achieved1 )', '(not (achieved0 ))']	1000.0	1000.0	501.0	1000.0	['take k1 cc p1 ca l2 (1)', 'load k1 cc r1 l2 (1)', 'take k1 ca p1 cb l2 (1)', 'move r1 l2 l1 (1)', 'unload k2 cc r1 l1 (1)', 'put k2 cc p2 pallet l1 (1)', 'put k1 cb p1 cb l2 (1)', 'move r1 l1 l2 (1)', 'load k1 ca r1 l2 (1)', 'move r1 l2 l1 (1)', 'unload k2 ca r1 l1 (1)', 'put k2 ca p2 ca l1 (1)', 'take k2 cc p2 pallet l1 (1)', 'put k2 cc q2 pallet l1 (1)', 'incap2-inccq2  (1)', 'take k2 cc q2 pallet l1 (1)', 'put k2 cc p2 pallet l1 (1)']	17	1000.0	20	0.160101890564
benchmarks-deception/dwr/p06/domain.pddl	benchmarks-deception/dwr/p06/template.pddl	greedy	heuristic	shortest	centroid	['(at r1 l2)', '(top pallet p1)', '(top pallet p2)', '(not (top pallet q1))', '(not (top pallet q2))', '(not (on ca pallet))', '(on cb pallet)', '(on cc pallet)', '(unloaded r1)', '(in ca q2)', '(top ca q2)', '(in cb q1)', '(on cb cb)', '(empty k1)', '(on ca cc)', '(empty k2)', '(in cc q2)', '(achieved1 )', '(not (achieved0 ))']	15.0	17.0	502.0	1000.0	['take k1 cc p1 cb l1 (1)', 'load k1 cc r1 l1 (1)', 'take k1 cb p1 ca l1 (1)', 'move r1 l1 l2 (1)', 'put k1 cb q1 pallet l1 (1)', 'unload k2 cc r1 l2 (1)', 'put k2 cc p2 pallet l2 (1)', 'take k1 ca p1 pallet l1 (1)', 'put k1 cb q1 cb l1 (1)', 'move r1 l2 l1 (1)', 'load k1 ca r1 l1 (1)', 'move r1 l1 l2 (1)', 'unload k2 ca r1 l2 (1)', 'put k2 ca p2 ca l2 (1)', 'incap2-incbq1-inccp2  (1)', 'take k2 cc p2 pallet l2 (1)', 'put k2 cc q2 pallet l2 (1)', 'take k2 ca p2 ca l2 (1)', 'put k2 ca q2 cc l2 (1)']	19	950.75	12	0.163981199265
benchmarks-deception/dwr/p08/domain.pddl	benchmarks-deception/dwr/p08/template.pddl	greedy	heuristic	shortest	centroid	['(at r1 l1)', '(top pallet p1)', '(not (top pallet p2))', '(not (top pallet q1))', '(not (top pallet q2))', '(on ca pallet)', '(on cb pallet)', '(on cc pallet)', '(unloaded r1)', '(in ca p2)', '(top ca p2)', '(in cb q1)', '(top cb q1)', '(empty k1)', '(on cc cc)', '(empty k2)', '(in cc q1)', '(achieved1 )', '(not (achieved0 ))']	13.5	14.0	1000.0	1000.0	['take k1 cc p1 cb l1 (1)', 'put k1 cc q1 pallet l1 (1)', 'take k1 cb p1 ca l1 (1)', 'put k1 cc q1 cc l1 (1)', 'take k1 ca p1 pallet l1 (1)', 'load k1 ca r1 l1 (1)', 'move r1 l1 l2 (1)', 'unload k2 ca r1 l2 (1)', 'put k2 ca p2 pallet l2 (1)', 'move r1 l2 l1 (1)', 'load k1 cb r1 l1 (1)', 'move r1 l1 l2 (1)', 'unload k2 cb r1 l2 (1)', 'put k2 cb q2 pallet l2 (1)', 'atr1l2-incap2-incbq2-inccq1-onccpallet  (1)', 'take k2 cb q2 cb l2 (1)', 'load k2 cb r1 l2 (1)', 'move r1 l2 l1 (1)', 'unload k1 cb r1 l1 (1)', 'put k1 cb q1 cb l1 (1)']	20	953.023809524	12	0.499406099319
benchmarks-deception/dwr/p09/domain.pddl	benchmarks-deception/dwr/p09/template.pddl	greedy	heuristic	shortest	centroid	['(at r1 l4)', '(top pallet p1)', '(not (top pallet p2))', '(not (top pallet q1))', '(top pallet q2)', '(not (on ca pallet))', '(on cb pallet)', '(on cc pallet)', '(unloaded r1)', '(in ca p2)', '(top ca p2)', '(in cb p2)', '(on cb cb)', '(empty k1)', '(on cc cc)', '(empty k2)', '(in cc q1)', '(not (achieved1 ))', '(not (achieved0 ))']	15.0	15.0	1000.0	1000.0	['take k1 cc p1 cb l1 (1)', 'put k1 cc q1 pallet l1 (1)', 'take k1 cb p1 ca l1 (1)', 'load k1 cb r1 l1 (1)', 'take k1 ca p1 pallet l1 (1)', 'move r1 l1 l2 (1)', 'unload k2 cb r1 l2 (1)', 'put k2 cb p2 pallet l2 (1)', 'put k1 cc q1 cc l1 (1)', 'move r1 l2 l1 (1)', 'load k1 ca r1 l1 (1)', 'move r1 l1 l2 (1)', 'put k2 cb p2 cb l2 (1)', 'unload k2 ca r1 l2 (1)', 'move r1 l2 l3 (1)', 'move r1 l3 l4 (1)', 'put k2 ca p2 ca l2 (1)']	17	945.277777778	2	0.157399892807
