Domain	Problem	Exploration	Estimation	Plan Type	State	Final State	Initial State Average	Initial State Minmax	Final State Average	Final State Minmax	Plan	Plan Cost	Plan Value	Number of States with Same Value	Search Time
benchmarks-deception/dwr/p01/domain.pddl	benchmarks-deception/dwr/p01/template.pddl	greedy	heuristic	shortest	minimum-covering	['(at r1 l1)', '(not (top pallet p1))', '(top pallet p2)', '(top pallet q1)', '(top pallet q2)', '(on ca pallet)', '(not (on cb pallet))', '(not (on cc pallet))', '(not (unloaded r1))', '(in ca p1)', '(on ca ca)', '(holding k1 cb)', '(empty k1)', '(loaded r1 cc)', '(empty k2)', '(not (achieved7 ))', '(not (achieved6 ))', '(not (achieved5 ))', '(not (achieved4 ))', '(not (achieved3 ))', '(not (achieved2 ))', '(not (achieved1 ))', '(not (achieved0 ))']	14.0	17.0	1000.0	1000.0	['take k1 cc p1 cb l1 (1)', 'load k1 cc r1 l1 (1)', 'take k1 cb p1 ca l1 (1)', 'put k1 ca p1 ca l1 (1)']	4	802.8	2	0.154866933823
benchmarks-deception/dwr/p02/domain.pddl	benchmarks-deception/dwr/p02/template.pddl	greedy	heuristic	shortest	minimum-covering	['(at r1 l2)', '(on ca pallet)', '(not (on cb pallet))', '(not (on cc pallet))', '(not (on cd pallet))', '(not (on ce pallet))', '(on cf pallet)', '(not (top pallet p1))', '(not (top pallet p2))', '(top pallet p3)', '(unloaded r1)', '(in ca p1)', '(in cb p1)', '(in ce p1)', '(in cf p2)', '(on ca ca)', '(top cb p1)', '(holding k1 cc)', '(holding k1 cd)', '(on ce ce)', '(empty k1)', '(empty k2)', '(top cf p2)', '(empty k3)', '(not (achieved5 ))', '(not (achieved4 ))', '(not (achieved3 ))', '(not (achieved2 ))', '(not (achieved1 ))', '(not (achieved0 ))']	39.3333333333	46.0	1000.0	1000.0	['put k2 cf p2 pallet l3 (1)', 'take k1 ce p1 cd l1 (1)', 'put k1 ce p1 ce l1 (1)', 'take k1 cd p1 cc l1 (1)', 'put k1 ce p1 ce l1 (1)', 'take k1 cc p1 cb l1 (1)', 'put k1 cc p1 cc l1 (1)', 'take k1 cb p1 ca l1 (1)', 'put k1 ca p1 ca l1 (1)', 'take k1 cc p1 cc l1 (1)', 'put k1 cb p1 cb l1 (1)']	11	919.944444444	16	0.217606067657
benchmarks-deception/dwr/p03/domain.pddl	benchmarks-deception/dwr/p03/template.pddl	greedy	heuristic	shortest	minimum-covering	['(at r1 l2)', '(on ca pallet)', '(not (on cb pallet))', '(not (on cc pallet))', '(not (on cd pallet))', '(not (on ce pallet))', '(on cf pallet)', '(not (top pallet p1))', '(not (top pallet p2))', '(top pallet p3)', '(unloaded r1)', '(in ca p1)', '(in cb p1)', '(in ce p1)', '(in cf p2)', '(on ca ca)', '(top cb p1)', '(holding k1 cc)', '(holding k1 cd)', '(on ce ce)', '(empty k1)', '(empty k2)', '(top cf p2)', '(empty k3)', '(not (achieved5 ))', '(not (achieved4 ))', '(not (achieved3 ))', '(not (achieved2 ))', '(not (achieved1 ))', '(not (achieved0 ))']	39.3333333333	46.0	1000.0	1000.0	['put k2 cf p2 pallet l3 (1)', 'take k1 ce p1 cd l1 (1)', 'put k1 ce p1 ce l1 (1)', 'take k1 cd p1 cc l1 (1)', 'put k1 ce p1 ce l1 (1)', 'take k1 cc p1 cb l1 (1)', 'put k1 cc p1 cc l1 (1)', 'take k1 cb p1 ca l1 (1)', 'put k1 ca p1 ca l1 (1)', 'take k1 cc p1 cc l1 (1)', 'put k1 cb p1 cb l1 (1)']	11	919.944444444	16	0.193099975586
benchmarks-deception/dwr/p04/domain.pddl	benchmarks-deception/dwr/p04/template.pddl	greedy	heuristic	shortest	minimum-covering	['(at r1 l1)', '(not (top pallet p1))', '(not (top pallet p2))', '(top pallet q1)', '(not (top pallet q2))', '(on ca pallet)', '(on cb pallet)', '(on cc pallet)', '(unloaded r1)', '(on cc cd)', '(in ca p2)', '(top ca p2)', '(on cb cb)', '(in cb p1)', '(empty k1)', '(top cc q2)', '(empty k2)', '(in cc q2)', '(not (achieved5 ))', '(not (achieved4 ))', '(not (achieved3 ))', '(not (achieved2 ))', '(not (achieved1 ))', '(not (achieved0 ))']	12.3333333333	13.0	667.0	1000.0	['take k1 cc p1 ca l2 (1)', 'put k1 cc q1 pallet l2 (1)', 'take k1 ca p1 cb l2 (1)', 'put k1 cb p1 cb l2 (1)', 'take k1 cc q1 pallet l2 (1)', 'load k1 ca r1 l2 (1)', 'move r1 l2 l1 (1)', 'unload k2 ca r1 l1 (1)', 'put k2 ca p2 pallet l1 (1)', 'move r1 l1 l2 (1)', 'load k1 cc r1 l2 (1)', 'move r1 l2 l1 (1)', 'unload k2 cc r1 l1 (1)', 'put k2 cc q2 pallet l1 (1)']	14	934.155555556	42	0.200964927673
benchmarks-deception/dwr/p05/domain.pddl	benchmarks-deception/dwr/p05/template.pddl	greedy	heuristic	shortest	minimum-covering	['(at r1 l1)', '(not (top pallet p1))', '(not (top pallet p2))', '(top pallet q1)', '(not (top pallet q2))', '(on ca pallet)', '(on cb pallet)', '(on cc pallet)', '(unloaded r1)', '(on cc cd)', '(in ca p2)', '(top ca p2)', '(on cb cb)', '(in cb p1)', '(empty k1)', '(top cc q2)', '(empty k2)', '(in cc q2)', '(not (achieved5 ))', '(not (achieved4 ))', '(not (achieved3 ))', '(not (achieved2 ))', '(not (achieved1 ))', '(not (achieved0 ))']	12.3333333333	13.0	667.0	1000.0	['take k1 cc p1 ca l2 (1)', 'put k1 cc q1 pallet l2 (1)', 'take k1 ca p1 cb l2 (1)', 'put k1 cb p1 cb l2 (1)', 'take k1 cc q1 pallet l2 (1)', 'load k1 ca r1 l2 (1)', 'move r1 l2 l1 (1)', 'unload k2 ca r1 l1 (1)', 'put k2 ca p2 pallet l1 (1)', 'move r1 l1 l2 (1)', 'load k1 cc r1 l2 (1)', 'move r1 l2 l1 (1)', 'unload k2 cc r1 l1 (1)', 'put k2 cc q2 pallet l1 (1)']	14	934.155555556	42	0.231099128723
benchmarks-deception/dwr/p06/domain.pddl	benchmarks-deception/dwr/p06/template.pddl	greedy	heuristic	shortest	minimum-covering	['(at r1 l1)', '(not (top pallet p1))', '(top pallet p2)', '(top pallet q1)', '(top pallet q2)', '(on ca pallet)', '(not (on cb pallet))', '(not (on cc pallet))', '(not (unloaded r1))', '(in ca p1)', '(on ca ca)', '(holding k1 cb)', '(empty k1)', '(loaded r1 cc)', '(empty k2)', '(not (achieved7 ))', '(not (achieved6 ))', '(not (achieved5 ))', '(not (achieved4 ))', '(not (achieved3 ))', '(not (achieved2 ))', '(not (achieved1 ))', '(not (achieved0 ))']	14.0	17.0	1000.0	1000.0	['take k1 cc p1 cb l1 (1)', 'load k1 cc r1 l1 (1)', 'take k1 cb p1 ca l1 (1)', 'put k1 ca p1 ca l1 (1)']	4	802.8	2	0.171950101852
benchmarks-deception/dwr/p07/domain.pddl	benchmarks-deception/dwr/p07/template.pddl	greedy	heuristic	shortest	minimum-covering	['(at r1 l1)', '(not (top pallet p1))', '(top pallet p2)', '(top pallet q1)', '(top pallet q2)', '(on ca pallet)', '(not (on cb pallet))', '(not (on cc pallet))', '(unloaded r1)', '(in ca p1)', '(on cb ca)', '(in cb p1)', '(on cb cb)', '(empty k1)', '(holding k1 cc)', '(empty k2)', '(not (achieved3 ))', '(not (achieved2 ))', '(not (achieved1 ))', '(not (achieved0 ))']	13.0	13.0	1000.0	1000.0	['take k1 cc p1 cb l1 (1)', 'put k1 cb p1 cb l1 (1)']	2	671.0	2	0.138411998749
benchmarks-deception/dwr/p08/domain.pddl	benchmarks-deception/dwr/p08/template.pddl	greedy	heuristic	shortest	minimum-covering	['(at r1 l1)', '(not (top pallet p1))', '(top pallet p2)', '(top pallet q1)', '(top pallet q2)', '(on ca pallet)', '(not (on cb pallet))', '(not (on cc pallet))', '(unloaded r1)', '(in ca p1)', '(on cb ca)', '(in cb p1)', '(on cb cb)', '(empty k1)', '(holding k1 cc)', '(empty k2)', '(not (achieved3 ))', '(not (achieved2 ))', '(not (achieved1 ))', '(not (achieved0 ))']	13.5	14.0	1000.0	1000.0	['take k1 cc p1 cb l1 (1)', 'put k1 cb p1 cb l1 (1)']	2	671.166666667	3	0.159553050995
benchmarks-deception/dwr/p09/domain.pddl	benchmarks-deception/dwr/p09/template.pddl	greedy	heuristic	shortest	minimum-covering	['(at r1 l1)', '(not (top pallet p1))', '(top pallet p2)', '(not (top pallet q1))', '(top pallet q2)', '(not (on ca pallet))', '(on cb pallet)', '(on cc pallet)', '(unloaded r1)', '(in ca q1)', '(on ca ca)', '(holding k1 cb)', '(empty k1)', '(on cc cc)', '(empty k2)', '(in cc q1)', '(not (achieved3 ))', '(not (achieved2 ))', '(not (achieved1 ))', '(not (achieved0 ))']	14.0	15.0	1000.0	1000.0	['take k1 cc p1 cb l1 (1)', 'put k1 cc q1 pallet l1 (1)', 'take k1 cb p1 ca l1 (1)', 'put k1 cc q1 cc l1 (1)', 'take k1 ca p1 pallet l1 (1)', 'put k1 ca q1 ca l1 (1)', 'put k1 cb p1 pallet l1 (1)', 'take k1 cb p1 cb l1 (1)', 'put k1 ca q1 ca l1 (1)']	9	901.4	2	0.147826910019
benchmarks-deception/dwr/p10/domain.pddl	benchmarks-deception/dwr/p10/template.pddl	greedy	heuristic	shortest	minimum-covering	['(at r2 l2)', '(at r1 l1)', '(not (top pallet p1))', '(top pallet p2)', '(top pallet q1)', '(top pallet q2)', '(on ca pallet)', '(not (on cb pallet))', '(not (on cc pallet))', '(unloaded r1)', '(in ca p1)', '(on cb ca)', '(in cb p1)', '(on cb cb)', '(empty k1)', '(holding k1 cc)', '(empty k2)', '(not (achieved3 ))', '(not (achieved2 ))', '(not (achieved1 ))', '(not (achieved0 ))']	15.0	15.0	1000.0	1000.0	['move r2 l1 l2 (1)', 'take k1 cc p1 cb l1 (1)', 'put k1 cb p1 cb l1 (1)']	3	753.75	2	0.150334835052
