Domain	Problem	Exploration	Estimation	Plan Type	State	Final State	Initial State Average	Initial State Minmax	Final State Average	Final State Minmax	Plan	Plan Cost	Plan Value	Number of States with Same Value	Search Time
benchmarks-deception/sokoban/p03/domain.pddl	benchmarks-deception/sokoban/p03/template.pddl	greedy	heuristic	shortest	centroid	['(clear f0-0f)', '(clear f4-4f)', '(clear f0-2f)', '(clear f0-4f)', '(clear f4-0f)', '(clear f4-2f)', '(clear f0-3f)', '(clear f4-1f)', '(clear f3-4f)', '(clear f1-0f)', '(clear f1-4f)', '(clear f3-0f)', '(clear f3-2f)', '(clear f1-1f)', '(clear f2-3f)', '(clear f2-4f)', '(clear f2-0f)', '(not (clear f3-1f))', '(clear f1-3f)', '(clear f2-1f)', '(not (clear f1-2f))', '(clear f2-2f)', '(at box0 f3-1f)', '(at box1 f1-2f)', '(at-robot f2-2f)', '(not (achieved1 ))']	507.5	1000.0	506.5	1000.0	['move f0-0f f1-0f down (1)', 'move f1-0f f1-1f right (1)', 'move f1-1f f2-1f down (1)', 'move f2-1f f2-2f right (1)']	4	507.1	1	0.154676914215
benchmarks-deception/sokoban/p04/domain.pddl	benchmarks-deception/sokoban/p04/template.pddl	greedy	heuristic	shortest	centroid	['(clear f0-0f)', '(clear f4-4f)', '(clear f0-2f)', '(clear f0-4f)', '(clear f4-0f)', '(clear f4-2f)', '(clear f0-3f)', '(clear f4-1f)', '(clear f3-4f)', '(clear f1-0f)', '(clear f1-4f)', '(clear f3-0f)', '(clear f3-2f)', '(clear f1-1f)', '(clear f2-3f)', '(clear f2-4f)', '(clear f2-0f)', '(not (clear f3-1f))', '(clear f1-3f)', '(clear f2-1f)', '(not (clear f1-2f))', '(clear f2-2f)', '(at box0 f3-1f)', '(at box1 f1-2f)', '(at-robot f2-1f)', '(not (achieved1 ))']	507.5	1000.0	507.0	1000.0	['move f0-0f f1-0f down (1)', 'move f1-0f f1-1f right (1)', 'move f1-1f f2-1f down (1)']	3	507.0	1	0.138836145401
benchmarks-deception/sokoban/p05/domain.pddl	benchmarks-deception/sokoban/p05/template.pddl	greedy	heuristic	shortest	centroid	['(clear f0-0f)', '(clear f0-1f)', '(clear f0-5f)', '(clear f0-6f)', '(clear f6-6f)', '(clear f6-0f)', '(clear f6-4f)', '(clear f5-6f)', '(clear f1-0f)', '(clear f1-6f)', '(clear f5-0f)', '(clear f6-1f)', '(clear f5-4f)', '(clear f6-3f)', '(clear f4-5f)', '(clear f6-2f)', '(clear f4-6f)', '(clear f2-0f)', '(clear f2-6f)', '(clear f3-6f)', '(clear f4-0f)', '(clear f3-0f)', '(clear f1-2f)', '(clear f1-3f)', '(clear f1-4f)', '(not (clear f1-1f))', '(clear f1-5f)', '(clear f5-1f)', '(clear f5-3f)', '(clear f3-5f)', '(not (clear f5-2f))', '(clear f2-5f)', '(clear f2-1f)', '(clear f4-1f)', '(clear f3-1f)', '(clear f2-4f)', '(clear f2-2f)', '(clear f2-3f)', '(clear f4-4f)', '(clear f3-4f)', '(clear f4-2f)', '(clear f3-2f)', '(clear f4-3f)', '(clear f3-3f)', '(at box0 f1-1f)', '(at box1 f5-2f)', '(at-robot f4-2f)', '(not (achieved1 ))', '(not (achieved0 ))']	27.0	36.0	27.0	36.0	['move f4-0f f4-1f right (1)', 'move f4-1f f4-2f right (1)']	2	23.3333333333	1	0.166594982147
benchmarks-deception/sokoban/p06/domain.pddl	benchmarks-deception/sokoban/p06/template.pddl	greedy	heuristic	shortest	centroid	['(clear f0-0f)', '(clear f0-1f)', '(clear f0-5f)', '(clear f0-6f)', '(clear f6-6f)', '(clear f6-0f)', '(clear f6-4f)', '(clear f5-6f)', '(clear f1-0f)', '(clear f1-6f)', '(clear f5-0f)', '(clear f6-1f)', '(clear f5-4f)', '(clear f6-3f)', '(clear f4-5f)', '(clear f6-2f)', '(clear f4-6f)', '(clear f2-0f)', '(clear f2-6f)', '(clear f3-6f)', '(clear f4-0f)', '(clear f3-0f)', '(clear f1-2f)', '(clear f1-3f)', '(clear f1-4f)', '(not (clear f1-1f))', '(clear f1-5f)', '(clear f5-1f)', '(clear f5-3f)', '(clear f3-5f)', '(not (clear f5-2f))', '(clear f2-5f)', '(clear f2-1f)', '(clear f4-1f)', '(clear f3-1f)', '(clear f2-4f)', '(clear f2-2f)', '(clear f2-3f)', '(clear f4-4f)', '(clear f3-4f)', '(clear f4-2f)', '(clear f3-2f)', '(clear f4-3f)', '(clear f3-3f)', '(at box0 f1-1f)', '(at box1 f5-2f)', '(at-robot f4-1f)', '(not (achieved1 ))', '(not (achieved0 ))']	27.0	36.0	26.5	35.0	['move f4-0f f4-1f right (1)']	1	24.0	2	0.171850919724
benchmarks-deception/sokoban/p07/domain.pddl	benchmarks-deception/sokoban/p07/template.pddl	greedy	heuristic	shortest	centroid	['(clear f0-0f)', '(clear f0-1f)', '(clear f0-5f)', '(clear f0-6f)', '(clear f6-6f)', '(clear f6-0f)', '(clear f6-4f)', '(clear f5-6f)', '(clear f1-0f)', '(clear f1-6f)', '(clear f5-0f)', '(clear f6-1f)', '(clear f5-4f)', '(clear f6-3f)', '(clear f4-5f)', '(clear f6-2f)', '(clear f4-6f)', '(clear f2-0f)', '(clear f2-6f)', '(clear f3-6f)', '(clear f4-0f)', '(clear f3-0f)', '(clear f1-2f)', '(clear f1-3f)', '(clear f1-4f)', '(not (clear f1-1f))', '(clear f1-5f)', '(clear f5-1f)', '(clear f5-3f)', '(clear f3-5f)', '(not (clear f5-2f))', '(clear f2-5f)', '(clear f2-1f)', '(clear f4-1f)', '(clear f3-1f)', '(clear f2-4f)', '(clear f2-2f)', '(clear f2-3f)', '(clear f4-4f)', '(clear f3-4f)', '(clear f4-2f)', '(clear f3-2f)', '(clear f4-3f)', '(clear f3-3f)', '(at box0 f1-1f)', '(at box1 f5-2f)', '(at box2 f2-3f)', '(at-robot f2-1f)', '(not (achieved1 ))', '(not (achieved0 ))']	36.0	44.0	36.0	43.0	['move f4-0f f4-1f right (1)', 'move f4-1f f3-1f up (1)', 'move f3-1f f2-1f up (1)']	3	32.25	1	0.177119970322
benchmarks-deception/sokoban/p02/domain.pddl	benchmarks-deception/sokoban/p02/template.pddl	greedy	heuristic	shortest	centroid	['(clear f8-5f)', '(clear f8-6f)', '(clear f8-8f)', '(clear f0-0f)', '(clear f0-8f)', '(clear f8-0f)', '(clear f8-3f)', '(clear f7-8f)', '(clear f7-6f)', '(clear f0-1f)', '(clear f1-0f)', '(clear f0-7f)', '(clear f1-8f)', '(clear f7-0f)', '(clear f8-1f)', '(clear f8-2f)', '(clear f3-1f)', '(clear f4-2f)', '(clear f5-1f)', '(clear f4-4f)', '(clear f6-7f)', '(clear f4-0f)', '(clear f6-8f)', '(clear f0-2f)', '(clear f2-0f)', '(clear f3-0f)', '(clear f0-6f)', '(clear f2-8f)', '(clear f6-0f)', '(clear f5-0f)', '(clear f5-8f)', '(clear f0-3f)', '(clear f0-5f)', '(clear f0-4f)', '(clear f3-8f)', '(clear f4-8f)', '(clear f3-5f)', '(clear f3-3f)', '(clear f5-3f)', '(clear f5-5f)', '(clear f4-6f)', '(clear f7-4f)', '(clear f7-5f)', '(clear f1-1f)', '(clear f2-1f)', '(clear f1-7f)', '(clear f7-1f)', '(clear f6-1f)', '(clear f5-7f)', '(clear f4-7f)', '(clear f7-3f)', '(clear f7-2f)', '(not (clear f6-5f))', '(clear f1-2f)', '(clear f1-6f)', '(clear f2-7f)', '(clear f3-7f)', '(clear f6-3f)', '(clear f6-4f)', '(clear f1-3f)', '(clear f1-5f)', '(not (clear f1-4f))', '(clear f5-4f)', '(clear f2-3f)', '(clear f2-5f)', '(clear f3-2f)', '(clear f2-2f)', '(clear f3-4f)', '(clear f2-4f)', '(clear f5-2f)', '(clear f6-2f)', '(clear f5-6f)', '(clear f6-6f)', '(clear f3-6f)', '(clear f2-6f)', '(at box0 f1-4f)', '(at box1 f6-5f)', '(at-robot f6-4f)', '(not (achieved1 ))', '(not (achieved0 ))']	24.5	26.0	24.5	27.0	['move f6-0f f6-1f right (1)', 'push f6-1f f6-2f f6-3f right box1 (1)', 'push f6-2f f6-3f f6-4f right box1 (1)', 'push f6-3f f6-4f f6-5f right box1 (1)']	4	22.1	1	0.271709918976
benchmarks-deception/sokoban/p03/domain.pddl	benchmarks-deception/sokoban/p03/template.pddl	greedy	heuristic	shortest	centroid	['(clear f0-0f)', '(clear f4-4f)', '(clear f0-2f)', '(clear f0-4f)', '(clear f4-0f)', '(clear f4-2f)', '(clear f0-3f)', '(clear f4-1f)', '(clear f3-4f)', '(clear f1-0f)', '(clear f1-4f)', '(clear f3-0f)', '(clear f3-2f)', '(clear f1-1f)', '(clear f2-3f)', '(clear f2-4f)', '(clear f2-0f)', '(not (clear f3-1f))', '(clear f1-3f)', '(clear f2-1f)', '(not (clear f1-2f))', '(clear f2-2f)', '(at box0 f3-1f)', '(at box1 f1-2f)', '(at-robot f2-1f)', '(not (achieved1 ))', '(not (achieved0 ))']	15.0	15.0	14.0	14.0	['move f0-0f f1-0f down (1)', 'move f1-0f f1-1f right (1)', 'move f1-1f f2-1f down (1)']	3	14.25	1	0.15211391449
benchmarks-deception/sokoban/p04/domain.pddl	benchmarks-deception/sokoban/p04/template.pddl	greedy	heuristic	shortest	centroid	['(clear f0-0f)', '(clear f4-4f)', '(clear f0-2f)', '(clear f0-4f)', '(clear f4-0f)', '(clear f4-2f)', '(clear f0-3f)', '(clear f4-1f)', '(clear f3-4f)', '(clear f1-0f)', '(clear f1-4f)', '(clear f3-0f)', '(clear f3-2f)', '(clear f1-1f)', '(clear f2-3f)', '(clear f2-4f)', '(clear f2-0f)', '(not (clear f3-1f))', '(clear f1-3f)', '(clear f2-1f)', '(not (clear f1-2f))', '(clear f2-2f)', '(at box0 f3-1f)', '(at box1 f1-2f)', '(at-robot f2-1f)', '(not (achieved1 ))', '(not (achieved0 ))']	15.0	15.0	14.0	14.0	['move f0-0f f1-0f down (1)', 'move f1-0f f1-1f right (1)', 'move f1-1f f2-1f down (1)']	3	14.25	1	0.147485017776
benchmarks-deception/sokoban/p05/domain.pddl	benchmarks-deception/sokoban/p05/template.pddl	greedy	heuristic	shortest	centroid	['(clear f0-0f)', '(clear f0-1f)', '(clear f0-5f)', '(clear f0-6f)', '(clear f6-6f)', '(clear f6-0f)', '(clear f6-4f)', '(clear f5-6f)', '(clear f1-0f)', '(clear f1-6f)', '(clear f5-0f)', '(clear f6-1f)', '(clear f5-4f)', '(clear f6-3f)', '(clear f4-5f)', '(clear f6-2f)', '(clear f4-6f)', '(clear f2-0f)', '(clear f2-6f)', '(clear f3-6f)', '(clear f4-0f)', '(clear f3-0f)', '(clear f1-2f)', '(clear f1-3f)', '(clear f1-4f)', '(not (clear f1-1f))', '(clear f1-5f)', '(clear f5-1f)', '(clear f5-3f)', '(clear f3-5f)', '(not (clear f5-2f))', '(clear f2-5f)', '(clear f2-1f)', '(clear f4-1f)', '(clear f3-1f)', '(clear f2-4f)', '(clear f2-2f)', '(clear f2-3f)', '(clear f4-4f)', '(clear f3-4f)', '(clear f4-2f)', '(clear f3-2f)', '(clear f4-3f)', '(clear f3-3f)', '(at box0 f1-1f)', '(at box1 f5-2f)', '(at-robot f2-1f)', '(not (achieved1 ))', '(not (achieved0 ))']	18.0	18.0	18.0	19.0	['move f4-0f f4-1f right (1)', 'move f4-1f f3-1f up (1)', 'move f3-1f f2-1f up (1)']	3	15.25	2	0.17648100853
benchmarks-deception/sokoban/p06/domain.pddl	benchmarks-deception/sokoban/p06/template.pddl	greedy	heuristic	shortest	centroid	['(clear f0-0f)', '(clear f0-1f)', '(clear f0-5f)', '(clear f0-6f)', '(clear f6-6f)', '(clear f6-0f)', '(clear f6-4f)', '(clear f5-6f)', '(clear f1-0f)', '(clear f1-6f)', '(clear f5-0f)', '(clear f6-1f)', '(clear f5-4f)', '(clear f6-3f)', '(clear f4-5f)', '(clear f6-2f)', '(clear f4-6f)', '(clear f2-0f)', '(clear f2-6f)', '(clear f3-6f)', '(clear f4-0f)', '(clear f3-0f)', '(clear f1-2f)', '(clear f1-3f)', '(clear f1-4f)', '(not (clear f1-1f))', '(clear f1-5f)', '(clear f5-1f)', '(clear f5-3f)', '(clear f3-5f)', '(not (clear f5-2f))', '(clear f2-5f)', '(clear f2-1f)', '(clear f4-1f)', '(clear f3-1f)', '(clear f2-4f)', '(clear f2-2f)', '(clear f2-3f)', '(clear f4-4f)', '(clear f3-4f)', '(clear f4-2f)', '(clear f3-2f)', '(clear f4-3f)', '(clear f3-3f)', '(at box0 f1-1f)', '(at box1 f5-2f)', '(at-robot f2-1f)', '(not (achieved1 ))', '(not (achieved0 ))']	18.0	18.0	18.0	19.0	['move f4-0f f4-1f right (1)', 'move f4-1f f3-1f up (1)', 'move f3-1f f2-1f up (1)']	3	15.25	2	0.171841144562
