Domain Name,Potential Goal,Initial,isRealGoal,Time to Extract Landmarks,Extracted Landmarks
blocks-world-p04,(and (clear s) (ontable r) (on s t) (on t a) (on a r)),"['(handempty)', '(clear t)', '(ontable t)', '(clear u)', '(ontable u)', '(clear r)', '(ontable r)', '(clear k)', '(ontable k)', '(clear c)', '(ontable c)', '(clear s)', '(on s a)', '(on a h)', '(ontable h)']",False,0.22115087509155273,"['(clear r)', '(clear t)', '(on s a)', '(ontable r)', '(ontable t)', '(handempty)', '(clear s)', '(on a h)', '(holding s)', '(clear a)', '(holding t)', '(holding a)', '(on t a)', '(on s t)', '(on a r)']"
blocks-world-p04,(and (clear t) (ontable h) (on t r) (on r a) (on a s) (on s h)),"['(handempty)', '(clear t)', '(ontable t)', '(clear u)', '(ontable u)', '(clear r)', '(ontable r)', '(clear k)', '(ontable k)', '(clear c)', '(ontable c)', '(clear s)', '(on s a)', '(on a h)', '(ontable h)']",False,0.13277101516723633,"['(clear r)', '(clear t)', '(on s a)', '(ontable r)', '(ontable t)', '(handempty)', '(clear s)', '(ontable h)', '(on a h)', '(holding r)', '(holding s)', '(holding t)', '(clear a)', '(holding a)', '(on r a)', '(clear h)', '(on t r)', '(on s h)', '(on a s)']"
blocks-world-p04,(and (clear r) (ontable h) (on r a) (on a s) (on s h)),"['(handempty)', '(clear t)', '(ontable t)', '(clear u)', '(ontable u)', '(clear r)', '(ontable r)', '(clear k)', '(ontable k)', '(clear c)', '(ontable c)', '(clear s)', '(on s a)', '(on a h)', '(ontable h)']",True,0.13882970809936523,"['(clear r)', '(on s a)', '(ontable r)', '(handempty)', '(clear s)', '(ontable h)', '(on a h)', '(holding r)', '(holding s)', '(clear a)', '(holding a)', '(on r a)', '(clear h)', '(on s h)', '(on a s)']"
blocks-world-p04,(and (clear a) (ontable h) (on a s) (on s h)),"['(handempty)', '(clear t)', '(ontable t)', '(clear u)', '(ontable u)', '(clear r)', '(ontable r)', '(clear k)', '(ontable k)', '(clear c)', '(ontable c)', '(clear s)', '(on s a)', '(on a h)', '(ontable h)']",False,0.12650799751281738,"['(on s a)', '(ontable h)', '(on a h)', '(handempty)', '(clear s)', '(holding s)', '(clear a)', '(holding a)', '(clear h)', '(on a s)', '(on s h)']"
blocks-world-p04,(and (clear c) (ontable h) (on c r) (on r a) (on a s) (on s h)),"['(handempty)', '(clear t)', '(ontable t)', '(clear u)', '(ontable u)', '(clear r)', '(ontable r)', '(clear k)', '(ontable k)', '(clear c)', '(ontable c)', '(clear s)', '(on s a)', '(on a h)', '(ontable h)']",False,0.14232993125915527,"['(clear r)', '(on s a)', '(ontable r)', '(handempty)', '(clear s)', '(ontable h)', '(on a h)', '(clear c)', '(ontable c)', '(holding c)', '(holding r)', '(holding s)', '(clear a)', '(holding a)', '(on c r)', '(on r a)', '(clear h)', '(on s h)', '(on a s)']"
blocks-world-p04,(and (clear c) (ontable h) (on c a) (on a s) (on s h)),"['(handempty)', '(clear t)', '(ontable t)', '(clear u)', '(ontable u)', '(clear r)', '(ontable r)', '(clear k)', '(ontable k)', '(clear c)', '(ontable c)', '(clear s)', '(on s a)', '(on a h)', '(ontable h)']",False,0.13493609428405762,"['(on s a)', '(handempty)', '(clear s)', '(ontable h)', '(on a h)', '(clear c)', '(ontable c)', '(holding c)', '(holding s)', '(clear a)', '(holding a)', '(clear h)', '(on c a)', '(on s h)', '(on a s)']"
blocks-world-p04,(and (clear s) (ontable t) (on s h) (on h u) (on u t)),"['(handempty)', '(clear t)', '(ontable t)', '(clear u)', '(ontable u)', '(clear r)', '(ontable r)', '(clear k)', '(ontable k)', '(clear c)', '(ontable c)', '(clear s)', '(on s a)', '(on a h)', '(ontable h)']",False,0.12179088592529297,"['(clear t)', '(clear u)', '(on s a)', '(ontable u)', '(ontable t)', '(handempty)', '(clear s)', '(ontable h)', '(on a h)', '(holding u)', '(holding s)', '(clear a)', '(on u t)', '(clear h)', '(on s h)', '(holding h)', '(on h u)']"
blocks-world-p04,(and (clear c) (ontable t) (on c u) (on u t)),"['(handempty)', '(clear t)', '(ontable t)', '(clear u)', '(ontable u)', '(clear r)', '(ontable r)', '(clear k)', '(ontable k)', '(clear c)', '(ontable c)', '(clear s)', '(on s a)', '(on a h)', '(ontable h)']",False,0.12019491195678711,"['(clear t)', '(clear u)', '(ontable u)', '(ontable t)', '(handempty)', '(clear c)', '(ontable c)', '(holding c)', '(holding u)', '(on u t)', '(on c u)']"
blocks-world-p04,(and (clear r) (ontable t) (on r u) (on u t)),"['(handempty)', '(clear t)', '(ontable t)', '(clear u)', '(ontable u)', '(clear r)', '(ontable r)', '(clear k)', '(ontable k)', '(clear c)', '(ontable c)', '(clear s)', '(on s a)', '(on a h)', '(ontable h)']",False,0.13547539710998535,"['(clear r)', '(clear t)', '(clear u)', '(ontable u)', '(ontable r)', '(ontable t)', '(handempty)', '(holding r)', '(holding u)', '(on r u)', '(on u t)']"
blocks-world-p04,(and (clear t) (ontable h) (on t u) (on u s) (on s h)),"['(handempty)', '(clear t)', '(ontable t)', '(clear u)', '(ontable u)', '(clear r)', '(ontable r)', '(clear k)', '(ontable k)', '(clear c)', '(ontable c)', '(clear s)', '(on s a)', '(on a h)', '(ontable h)']",False,0.14043092727661133,"['(clear t)', '(clear u)', '(on s a)', '(ontable u)', '(ontable t)', '(handempty)', '(clear s)', '(ontable h)', '(on a h)', '(holding u)', '(holding s)', '(holding t)', '(clear a)', '(on u s)', '(clear h)', '(on t u)', '(on s h)']"
