Domain Name,Potential Goal,Initial,isRealGoal,Time to Extract Landmarks,Extracted Landmarks
logistics-p02,(and (at obj11 pos21) (at obj23 pos11)),"['(at apn1 apt2)', '(at apn2 apt1)', '(at tru1 pos11)', '(at tru2 pos22)', '(at obj11 pos11)', '(at obj12 pos12)', '(at obj13 pos13)', '(at obj21 pos21)', '(at obj22 pos22)', '(at obj23 pos23)']",False,0.7498569488525391,"['(at apn1 apt2)', '(at apn2 apt1)', '(at tru1 pos11)', '(at tru2 pos22)', '(at tru2 apt2)', '(at tru2 pos21)', '(at tru1 apt1)', '(at obj11 apt2)', '(at obj23 apt1)', '(in obj11 tru2)', '(at obj11 pos21)', '(in obj23 tru1)', '(at obj23 pos11)']"
logistics-p02,(and (at obj12 pos23) (at obj21 pos23)),"['(at apn1 apt2)', '(at apn2 apt1)', '(at tru1 pos11)', '(at tru2 pos22)', '(at obj11 pos11)', '(at obj12 pos12)', '(at obj13 pos13)', '(at obj21 pos21)', '(at obj22 pos22)', '(at obj23 pos23)']",False,0.33594703674316406,"['(at tru2 pos22)', '(at obj21 pos21)', '(at apn1 apt2)', '(at tru2 apt2)', '(at tru2 pos21)', '(at tru2 pos23)', '(in obj21 tru2)', '(at obj21 pos23)', '(at obj12 apt2)', '(in obj12 tru2)', '(at obj12 pos23)']"
logistics-p02,(and (at obj13 pos11) (at obj22 pos11)),"['(at apn1 apt2)', '(at apn2 apt1)', '(at tru1 pos11)', '(at tru2 pos22)', '(at obj11 pos11)', '(at obj12 pos12)', '(at obj13 pos13)', '(at obj21 pos21)', '(at obj22 pos22)', '(at obj23 pos23)']",False,1.4173402786254883,"['(at obj13 pos13)', '(at tru1 pos11)', '(at apn2 apt1)', '(at tru1 apt1)', '(at tru1 pos13)', '(in obj13 tru1)', '(at obj13 pos11)', '(at obj22 apt1)', '(in obj22 tru1)', '(at obj22 pos11)']"
logistics-p02,(and (at obj11 pos23) (at obj21 pos12)),"['(at apn1 apt2)', '(at apn2 apt1)', '(at tru1 pos11)', '(at tru2 pos22)', '(at obj11 pos11)', '(at obj12 pos12)', '(at obj13 pos13)', '(at obj21 pos21)', '(at obj22 pos22)', '(at obj23 pos23)']",True,0.8495171070098877,"['(at apn1 apt2)', '(at apn2 apt1)', '(at tru1 pos11)', '(at tru2 pos22)', '(at tru1 pos12)', '(at tru1 apt1)', '(at tru2 apt2)', '(at tru2 pos23)', '(at obj11 apt2)', '(in obj11 tru2)', '(at obj21 apt1)', '(at obj11 pos23)', '(in obj21 tru1)', '(at obj21 pos12)']"
logistics-p02,(and (at obj12 pos22) (at obj22 pos12)),"['(at apn1 apt2)', '(at apn2 apt1)', '(at tru1 pos11)', '(at tru2 pos22)', '(at obj11 pos11)', '(at obj12 pos12)', '(at obj13 pos13)', '(at obj21 pos21)', '(at obj22 pos22)', '(at obj23 pos23)']",False,0.4905426502227783,"['(at apn1 apt2)', '(at apn2 apt1)', '(at tru1 pos11)', '(at tru2 pos22)', '(at tru1 pos12)', '(at tru2 apt2)', '(at tru1 apt1)', '(at obj22 apt1)', '(at obj12 apt2)', '(in obj22 tru1)', '(at obj22 pos12)', '(in obj12 tru2)', '(at obj12 pos22)']"
logistics-p02,(and (at obj13 pos11) (at obj23 pos12)),"['(at apn1 apt2)', '(at apn2 apt1)', '(at tru1 pos11)', '(at tru2 pos22)', '(at obj11 pos11)', '(at obj12 pos12)', '(at obj13 pos13)', '(at obj21 pos21)', '(at obj22 pos22)', '(at obj23 pos23)']",False,0.6916022300720215,"['(at tru1 pos11)', '(at obj13 pos13)', '(at apn2 apt1)', '(at tru1 pos12)', '(at tru1 apt1)', '(at tru1 pos13)', '(in obj13 tru1)', '(at obj13 pos11)', '(at obj23 apt1)', '(in obj23 tru1)', '(at obj23 pos12)']"
logistics-p02,(and (at obj11 pos23) (at obj22 pos13)),"['(at apn1 apt2)', '(at apn2 apt1)', '(at tru1 pos11)', '(at tru2 pos22)', '(at obj11 pos11)', '(at obj12 pos12)', '(at obj13 pos13)', '(at obj21 pos21)', '(at obj22 pos22)', '(at obj23 pos23)']",False,0.36385393142700195,"['(at apn1 apt2)', '(at apn2 apt1)', '(at tru1 pos11)', '(at tru2 pos22)', '(at tru1 apt1)', '(at tru2 apt2)', '(at tru2 pos23)', '(at tru1 pos13)', '(at obj22 apt1)', '(at obj11 apt2)', '(in obj22 tru1)', '(in obj11 tru2)', '(at obj11 pos23)', '(at obj22 pos13)']"
logistics-p02,(and (at obj12 pos22) (at obj21 pos13)),"['(at apn1 apt2)', '(at apn2 apt1)', '(at tru1 pos11)', '(at tru2 pos22)', '(at obj11 pos11)', '(at obj12 pos12)', '(at obj13 pos13)', '(at obj21 pos21)', '(at obj22 pos22)', '(at obj23 pos23)']",False,0.7889657020568848,"['(at apn1 apt2)', '(at apn2 apt1)', '(at tru1 pos11)', '(at tru2 pos22)', '(at tru2 apt2)', '(at tru1 apt1)', '(at tru1 pos13)', '(at obj12 apt2)', '(at obj21 apt1)', '(in obj21 tru1)', '(in obj12 tru2)', '(at obj21 pos13)', '(at obj12 pos22)']"
logistics-p02,(and (at obj13 pos21) (at obj23 pos13)),"['(at apn1 apt2)', '(at apn2 apt1)', '(at tru1 pos11)', '(at tru2 pos22)', '(at obj11 pos11)', '(at obj12 pos12)', '(at obj13 pos13)', '(at obj21 pos21)', '(at obj22 pos22)', '(at obj23 pos23)']",False,0.35129690170288086,"['(at apn1 apt2)', '(at apn2 apt1)', '(at tru1 pos11)', '(at tru2 pos22)', '(at tru1 apt1)', '(at tru2 pos21)', '(at tru2 apt2)', '(at tru1 pos13)', '(at obj13 apt2)', '(at obj23 apt1)', '(in obj13 tru2)', '(in obj23 tru1)', '(at obj13 pos21)', '(at obj23 pos13)']"
logistics-p02,(and (at obj11 pos22) (at obj21 pos12)),"['(at apn1 apt2)', '(at apn2 apt1)', '(at tru1 pos11)', '(at tru2 pos22)', '(at obj11 pos11)', '(at obj12 pos12)', '(at obj13 pos13)', '(at obj21 pos21)', '(at obj22 pos22)', '(at obj23 pos23)']",False,0.2976388931274414,"['(at apn1 apt2)', '(at apn2 apt1)', '(at tru1 pos11)', '(at tru2 pos22)', '(at tru1 pos12)', '(at tru2 apt2)', '(at tru1 apt1)', '(at obj11 apt2)', '(in obj11 tru2)', '(at obj21 apt1)', '(at obj11 pos22)', '(in obj21 tru1)', '(at obj21 pos12)']"
