Approach,Initial,Goal,Time to Order Landmarks,Time to Generate Plan,Path Length,Path,Deceptive Cost,Deceptive Quality,Deception Score
Vanilla Pyperplan,"['(at apn1 apt1)', '(at tru1 pos12)', '(at tru2 pos22)', '(at obj11 pos11)', '(at obj12 pos12)', '(at obj21 pos11)']",['(at obj21 pos23)'],-1,0.006236076354980469,11,"[<Op (drive-truck tru2 pos22 apt2 cit2)>, <Op (drive-truck tru1 pos12 pos11 cit1)>, <Op (load-truck obj21 tru1 pos11)>, <Op (drive-truck tru1 pos11 apt1 cit1)>, <Op (unload-truck obj21 tru1 apt1)>, <Op (load-airplane obj21 apn1 apt1)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (unload-airplane obj21 apn1 apt2)>, <Op (load-truck obj21 tru2 apt2)>, <Op (drive-truck tru2 apt2 pos23 cit2)>, <Op (unload-truck obj21 tru2 pos23)>]",11,0,0
Peta's Goal to Real Goal Approach,"['(at apn1 apt1)', '(at tru1 pos12)', '(at tru2 pos22)', '(at obj11 pos11)', '(at obj12 pos12)', '(at obj21 pos11)']",['(at obj21 pos23)'],0.12300801277160645,0.06746697425842285,23,"[<Op (drive-truck tru2 pos22 apt2 cit2)>, <Op (drive-truck tru1 pos12 pos11 cit1)>, <Op (load-truck obj11 tru1 pos11)>, <Op (drive-truck tru1 pos11 apt1 cit1)>, <Op (unload-truck obj11 tru1 apt1)>, <Op (load-airplane obj11 apn1 apt1)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (unload-airplane obj11 apn1 apt2)>, <Op (load-truck obj11 tru2 apt2)>, <Op (drive-truck tru2 apt2 pos22 cit2)>, <Op (unload-truck obj11 tru2 pos22)>, <Op (drive-truck tru2 pos22 apt2 cit2)>, <Op (drive-truck tru1 apt1 pos11 cit1)>, <Op (load-truck obj21 tru1 pos11)>, <Op (drive-truck tru1 pos11 apt1 cit1)>, <Op (unload-truck obj21 tru1 apt1)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (load-airplane obj21 apn1 apt1)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (unload-airplane obj21 apn1 apt2)>, <Op (load-truck obj21 tru2 apt2)>, <Op (drive-truck tru2 apt2 pos23 cit2)>, <Op (unload-truck obj21 tru2 pos23)>]",23,0.391304347826087,0.75
Goal to Real Goal Approach,"['(at apn1 apt1)', '(at tru1 pos12)', '(at tru2 pos22)', '(at obj11 pos11)', '(at obj12 pos12)', '(at obj21 pos11)']",['(at obj21 pos23)'],1.1920928955078125e-05,0.06862592697143555,23,"[<Op (drive-truck tru2 pos22 apt2 cit2)>, <Op (drive-truck tru1 pos12 pos11 cit1)>, <Op (load-truck obj11 tru1 pos11)>, <Op (drive-truck tru1 pos11 apt1 cit1)>, <Op (unload-truck obj11 tru1 apt1)>, <Op (load-airplane obj11 apn1 apt1)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (unload-airplane obj11 apn1 apt2)>, <Op (load-truck obj11 tru2 apt2)>, <Op (drive-truck tru2 apt2 pos22 cit2)>, <Op (unload-truck obj11 tru2 pos22)>, <Op (drive-truck tru2 pos22 apt2 cit2)>, <Op (drive-truck tru1 apt1 pos11 cit1)>, <Op (load-truck obj21 tru1 pos11)>, <Op (drive-truck tru1 pos11 apt1 cit1)>, <Op (unload-truck obj21 tru1 apt1)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (load-airplane obj21 apn1 apt1)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (unload-airplane obj21 apn1 apt2)>, <Op (load-truck obj21 tru2 apt2)>, <Op (drive-truck tru2 apt2 pos23 cit2)>, <Op (unload-truck obj21 tru2 pos23)>]",23,0.391304347826087,0.75
Shared Landmark Approach,"['(at apn1 apt1)', '(at tru1 pos12)', '(at tru2 pos22)', '(at obj11 pos11)', '(at obj12 pos12)', '(at obj21 pos11)']",['(at obj21 pos23)'],0.010189056396484375,0.00976109504699707,15,"[<Op (drive-truck tru1 pos12 pos11 cit1)>, <Op (drive-truck tru2 pos22 apt2 cit2)>, <Op (drive-truck tru1 pos11 apt1 cit1)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (drive-truck tru1 apt1 pos11 cit1)>, <Op (load-truck obj21 tru1 pos11)>, <Op (drive-truck tru1 pos11 apt1 cit1)>, <Op (unload-truck obj21 tru1 apt1)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (load-airplane obj21 apn1 apt1)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (unload-airplane obj21 apn1 apt2)>, <Op (load-truck obj21 tru2 apt2)>, <Op (drive-truck tru2 apt2 pos23 cit2)>, <Op (unload-truck obj21 tru2 pos23)>]",15,0.13333333333333333,0.5
Combined Landmarks Approach,"['(at apn1 apt1)', '(at tru1 pos12)', '(at tru2 pos22)', '(at obj11 pos11)', '(at obj12 pos12)', '(at obj21 pos11)']",['(at obj21 pos23)'],0.04975414276123047,0.015223979949951172,28,"[<Op (drive-truck tru1 pos12 pos11 cit1)>, <Op (drive-truck tru2 pos22 apt2 cit2)>, <Op (drive-truck tru1 pos11 apt1 cit1)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (drive-truck tru1 apt1 pos11 cit1)>, <Op (load-truck obj11 tru1 pos11)>, <Op (drive-truck tru1 pos11 apt1 cit1)>, <Op (unload-truck obj11 tru1 apt1)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (load-airplane obj11 apn1 apt1)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (unload-airplane obj11 apn1 apt2)>, <Op (load-truck obj11 tru2 apt2)>, <Op (drive-truck tru2 apt2 pos22 cit2)>, <Op (unload-truck obj11 tru2 pos22)>, <Op (drive-truck tru2 pos22 pos23 cit2)>, <Op (drive-truck tru1 apt1 pos11 cit1)>, <Op (load-truck obj21 tru1 pos11)>, <Op (drive-truck tru1 pos11 apt1 cit1)>, <Op (unload-truck obj21 tru1 apt1)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (load-airplane obj21 apn1 apt1)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (unload-airplane obj21 apn1 apt2)>, <Op (drive-truck tru2 pos23 apt2 cit2)>, <Op (load-truck obj21 tru2 apt2)>, <Op (drive-truck tru2 apt2 pos23 cit2)>, <Op (unload-truck obj21 tru2 pos23)>]",28,0.42857142857142855,0.7058823529411765
Most Common Landmarks,"['(at apn1 apt1)', '(at tru1 pos12)', '(at tru2 pos22)', '(at obj11 pos11)', '(at obj12 pos12)', '(at obj21 pos11)']",['(at obj21 pos23)'],0.013274669647216797,0.008121252059936523,16,"[<Op (drive-truck tru2 pos22 apt2 cit2)>, <Op (drive-truck tru1 pos12 apt1 cit1)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (drive-truck tru1 apt1 pos11 cit1)>, <Op (drive-truck tru2 apt2 pos23 cit2)>, <Op (load-truck obj21 tru1 pos11)>, <Op (drive-truck tru1 pos11 apt1 cit1)>, <Op (unload-truck obj21 tru1 apt1)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (load-airplane obj21 apn1 apt1)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (unload-airplane obj21 apn1 apt2)>, <Op (drive-truck tru2 pos23 apt2 cit2)>, <Op (load-truck obj21 tru2 apt2)>, <Op (drive-truck tru2 apt2 pos23 cit2)>, <Op (unload-truck obj21 tru2 pos23)>]",16,0.1875,0.6
Closest Centroid Approach,"['(at apn1 apt1)', '(at tru1 pos12)', '(at tru2 pos22)', '(at obj11 pos11)', '(at obj12 pos12)', '(at obj21 pos11)']",['(at obj21 pos23)'],0.0003921985626220703,0.07604598999023438,18,"[<Op (load-truck obj12 tru1 pos12)>, <Op (drive-truck tru2 pos22 apt2 cit2)>, <Op (drive-truck tru1 pos12 pos11 cit1)>, <Op (load-truck obj21 tru1 pos11)>, <Op (drive-truck tru1 pos11 apt1 cit1)>, <Op (unload-truck obj21 tru1 apt1)>, <Op (load-airplane obj21 apn1 apt1)>, <Op (unload-truck obj12 tru1 apt1)>, <Op (load-airplane obj12 apn1 apt1)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (unload-airplane obj21 apn1 apt2)>, <Op (load-truck obj21 tru2 apt2)>, <Op (unload-airplane obj12 apn1 apt2)>, <Op (load-truck obj12 tru2 apt2)>, <Op (drive-truck tru2 apt2 pos21 cit2)>, <Op (unload-truck obj12 tru2 pos21)>, <Op (drive-truck tru2 pos21 pos23 cit2)>, <Op (unload-truck obj21 tru2 pos23)>]",18,0.3888888888888889,1.0
All but Real Centroid Approach,"['(at apn1 apt1)', '(at tru1 pos12)', '(at tru2 pos22)', '(at obj11 pos11)', '(at obj12 pos12)', '(at obj21 pos11)']",['(at obj21 pos23)'],0.000347137451171875,0.8433458805084229,30,"[<Op (load-truck obj12 tru1 pos12)>, <Op (drive-truck tru2 pos22 apt2 cit2)>, <Op (drive-truck tru1 pos12 pos11 cit1)>, <Op (load-truck obj11 tru1 pos11)>, <Op (drive-truck tru1 pos11 apt1 cit1)>, <Op (unload-truck obj12 tru1 apt1)>, <Op (load-airplane obj12 apn1 apt1)>, <Op (unload-truck obj11 tru1 apt1)>, <Op (load-airplane obj11 apn1 apt1)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (unload-airplane obj12 apn1 apt2)>, <Op (load-truck obj12 tru2 apt2)>, <Op (unload-airplane obj11 apn1 apt2)>, <Op (load-truck obj11 tru2 apt2)>, <Op (drive-truck tru2 apt2 pos21 cit2)>, <Op (unload-truck obj12 tru2 pos21)>, <Op (drive-truck tru2 pos21 pos22 cit2)>, <Op (unload-truck obj11 tru2 pos22)>, <Op (drive-truck tru2 pos22 apt2 cit2)>, <Op (drive-truck tru1 apt1 pos11 cit1)>, <Op (load-truck obj21 tru1 pos11)>, <Op (drive-truck tru1 pos11 apt1 cit1)>, <Op (unload-truck obj21 tru1 apt1)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (load-airplane obj21 apn1 apt1)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (unload-airplane obj21 apn1 apt2)>, <Op (load-truck obj21 tru2 apt2)>, <Op (drive-truck tru2 apt2 pos23 cit2)>, <Op (unload-truck obj21 tru2 pos23)>]",30,0.5333333333333333,0.8421052631578947
Centroid Approach,"['(at apn1 apt1)', '(at tru1 pos12)', '(at tru2 pos22)', '(at obj11 pos11)', '(at obj12 pos12)', '(at obj21 pos11)']",['(at obj21 pos23)'],0.00048089027404785156,0.10335111618041992,12,"[<Op (drive-truck tru2 pos22 apt2 cit2)>, <Op (drive-truck tru1 pos12 apt1 cit1)>, <Op (drive-truck tru1 apt1 pos11 cit1)>, <Op (load-truck obj21 tru1 pos11)>, <Op (drive-truck tru1 pos11 apt1 cit1)>, <Op (unload-truck obj21 tru1 apt1)>, <Op (load-airplane obj21 apn1 apt1)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (unload-airplane obj21 apn1 apt2)>, <Op (load-truck obj21 tru2 apt2)>, <Op (drive-truck tru2 apt2 pos23 cit2)>, <Op (unload-truck obj21 tru2 pos23)>]",12,0.08333333333333333,1.0
R-Centroid Approach,"['(at apn1 apt1)', '(at tru1 pos12)', '(at tru2 pos22)', '(at obj11 pos11)', '(at obj12 pos12)', '(at obj21 pos11)']",['(at obj21 pos23)'],0.0004069805145263672,0.15372705459594727,11,"[<Op (drive-truck tru2 pos22 apt2 cit2)>, <Op (drive-truck tru1 pos12 pos11 cit1)>, <Op (load-truck obj21 tru1 pos11)>, <Op (drive-truck tru1 pos11 apt1 cit1)>, <Op (unload-truck obj21 tru1 apt1)>, <Op (load-airplane obj21 apn1 apt1)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (unload-airplane obj21 apn1 apt2)>, <Op (load-truck obj21 tru2 apt2)>, <Op (drive-truck tru2 apt2 pos23 cit2)>, <Op (unload-truck obj21 tru2 pos23)>]",11,0,0
