Approach,Initial,Goal,Time to Order Landmarks,Time to Generate Plan,Path Length,Path,Deceptive Cost,Deceptive Quality,Deception Score
Vanilla Pyperplan,"['(at apn1 apt1)', '(at tru1 pos11)', '(at tru2 pos21)', '(at obj11 pos11)', '(at obj12 pos11)', '(at obj13 pos11)', '(at obj21 pos22)', '(at obj22 pos22)']","['(at obj13 pos13)', '(at obj11 pos12)', '(at obj21 pos11)']",-1,0.7271862030029297,18,"[<Op (load-truck obj13 tru1 pos11)>, <Op (load-truck obj11 tru1 pos11)>, <Op (drive-truck tru2 pos21 pos22 cit2)>, <Op (load-truck obj21 tru2 pos22)>, <Op (drive-truck tru2 pos22 apt2 cit2)>, <Op (unload-truck obj21 tru2 apt2)>, <Op (drive-truck tru1 pos11 apt1 cit1)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (load-airplane obj21 apn1 apt2)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (unload-airplane obj21 apn1 apt1)>, <Op (load-truck obj21 tru1 apt1)>, <Op (drive-truck tru1 apt1 pos11 cit1)>, <Op (unload-truck obj21 tru1 pos11)>, <Op (drive-truck tru1 pos11 pos12 cit1)>, <Op (unload-truck obj11 tru1 pos12)>, <Op (drive-truck tru1 pos12 pos13 cit1)>, <Op (unload-truck obj13 tru1 pos13)>]",18,0,0
Peta's Goal to Real Goal Approach,"['(at apn1 apt1)', '(at tru1 pos11)', '(at tru2 pos21)', '(at obj11 pos11)', '(at obj12 pos11)', '(at obj13 pos11)', '(at obj21 pos22)', '(at obj22 pos22)']","['(at obj13 pos13)', '(at obj11 pos12)', '(at obj21 pos11)']",6.456979990005493,1.9242198467254639,20,"[<Op (load-truck obj13 tru1 pos11)>, <Op (drive-truck tru2 pos21 pos22 cit2)>, <Op (load-truck obj21 tru2 pos22)>, <Op (drive-truck tru2 pos22 apt2 cit2)>, <Op (unload-truck obj21 tru2 apt2)>, <Op (drive-truck tru1 pos11 apt1 cit1)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (load-airplane obj21 apn1 apt2)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (unload-airplane obj21 apn1 apt1)>, <Op (load-truck obj21 tru1 apt1)>, <Op (drive-truck tru1 apt1 pos13 cit1)>, <Op (unload-truck obj21 tru1 pos13)>, <Op (unload-truck obj13 tru1 pos13)>, <Op (load-truck obj21 tru1 pos13)>, <Op (drive-truck tru1 pos13 pos11 cit1)>, <Op (load-truck obj11 tru1 pos11)>, <Op (unload-truck obj21 tru1 pos11)>, <Op (drive-truck tru1 pos11 pos12 cit1)>, <Op (unload-truck obj11 tru1 pos12)>]",20,0.05,0.5
Goal to Real Goal Approach,"['(at apn1 apt1)', '(at tru1 pos11)', '(at tru2 pos21)', '(at obj11 pos11)', '(at obj12 pos11)', '(at obj13 pos11)', '(at obj21 pos22)', '(at obj22 pos22)']","['(at obj13 pos13)', '(at obj11 pos12)', '(at obj21 pos11)']",1.1920928955078125e-05,1.9255049228668213,20,"[<Op (load-truck obj13 tru1 pos11)>, <Op (drive-truck tru2 pos21 pos22 cit2)>, <Op (load-truck obj21 tru2 pos22)>, <Op (drive-truck tru2 pos22 apt2 cit2)>, <Op (unload-truck obj21 tru2 apt2)>, <Op (drive-truck tru1 pos11 apt1 cit1)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (load-airplane obj21 apn1 apt2)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (unload-airplane obj21 apn1 apt1)>, <Op (load-truck obj21 tru1 apt1)>, <Op (drive-truck tru1 apt1 pos13 cit1)>, <Op (unload-truck obj21 tru1 pos13)>, <Op (unload-truck obj13 tru1 pos13)>, <Op (load-truck obj21 tru1 pos13)>, <Op (drive-truck tru1 pos13 pos11 cit1)>, <Op (load-truck obj11 tru1 pos11)>, <Op (unload-truck obj21 tru1 pos11)>, <Op (drive-truck tru1 pos11 pos12 cit1)>, <Op (unload-truck obj11 tru1 pos12)>]",20,0.05,0.5
Shared Landmark Approach,"['(at apn1 apt1)', '(at tru1 pos11)', '(at tru2 pos21)', '(at obj11 pos11)', '(at obj12 pos11)', '(at obj13 pos11)', '(at obj21 pos22)', '(at obj22 pos22)']","['(at obj13 pos13)', '(at obj11 pos12)', '(at obj21 pos11)']",0.1468641757965088,0.030076980590820312,23,"[<Op (drive-truck tru1 pos11 pos13 cit1)>, <Op (drive-truck tru2 pos21 pos22 cit2)>, <Op (drive-truck tru1 pos13 pos11 cit1)>, <Op (load-truck obj13 tru1 pos11)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (drive-truck tru2 pos22 apt2 cit2)>, <Op (drive-truck tru1 pos11 apt1 cit1)>, <Op (drive-truck tru2 apt2 pos22 cit2)>, <Op (load-truck obj21 tru2 pos22)>, <Op (drive-truck tru1 apt1 pos13 cit1)>, <Op (unload-truck obj13 tru1 pos13)>, <Op (drive-truck tru2 pos22 apt2 cit2)>, <Op (unload-truck obj21 tru2 apt2)>, <Op (load-airplane obj21 apn1 apt2)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (unload-airplane obj21 apn1 apt1)>, <Op (drive-truck tru1 pos13 apt1 cit1)>, <Op (load-truck obj21 tru1 apt1)>, <Op (drive-truck tru1 apt1 pos11 cit1)>, <Op (load-truck obj11 tru1 pos11)>, <Op (unload-truck obj21 tru1 pos11)>, <Op (drive-truck tru1 pos11 pos12 cit1)>, <Op (unload-truck obj11 tru1 pos12)>]",23,0.17391304347826086,0.8
Combined Landmarks Approach,"['(at apn1 apt1)', '(at tru1 pos11)', '(at tru2 pos21)', '(at obj11 pos11)', '(at obj12 pos11)', '(at obj13 pos11)', '(at obj21 pos22)', '(at obj22 pos22)']","['(at obj13 pos13)', '(at obj11 pos12)', '(at obj21 pos11)']",0.716270923614502,0.029152870178222656,28,"[<Op (drive-truck tru1 pos11 pos13 cit1)>, <Op (drive-truck tru2 pos21 pos22 cit2)>, <Op (drive-truck tru1 pos13 pos11 cit1)>, <Op (load-truck obj13 tru1 pos11)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (drive-truck tru2 pos22 apt2 cit2)>, <Op (drive-truck tru1 pos11 apt1 cit1)>, <Op (drive-truck tru2 apt2 pos22 cit2)>, <Op (load-truck obj21 tru2 pos22)>, <Op (drive-truck tru1 apt1 pos13 cit1)>, <Op (unload-truck obj13 tru1 pos13)>, <Op (drive-truck tru2 pos22 apt2 cit2)>, <Op (unload-truck obj21 tru2 apt2)>, <Op (load-airplane obj21 apn1 apt2)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (unload-airplane obj21 apn1 apt1)>, <Op (drive-truck tru1 pos13 apt1 cit1)>, <Op (load-truck obj21 tru1 apt1)>, <Op (drive-truck tru1 apt1 pos13 cit1)>, <Op (unload-truck obj21 tru1 pos13)>, <Op (drive-truck tru1 pos13 pos11 cit1)>, <Op (load-truck obj11 tru1 pos11)>, <Op (drive-truck tru1 pos11 pos12 cit1)>, <Op (unload-truck obj11 tru1 pos12)>, <Op (drive-truck tru1 pos12 pos13 cit1)>, <Op (load-truck obj21 tru1 pos13)>, <Op (drive-truck tru1 pos13 pos11 cit1)>, <Op (unload-truck obj21 tru1 pos11)>]",28,0.25,0.7
Most Common Landmarks,"['(at apn1 apt1)', '(at tru1 pos11)', '(at tru2 pos21)', '(at obj11 pos11)', '(at obj12 pos11)', '(at obj13 pos11)', '(at obj21 pos22)', '(at obj22 pos22)']","['(at obj13 pos13)', '(at obj11 pos12)', '(at obj21 pos11)']",0.473452091217041,0.019468069076538086,24,"[<Op (drive-truck tru1 pos11 pos13 cit1)>, <Op (drive-truck tru2 pos21 pos22 cit2)>, <Op (drive-truck tru1 pos13 pos11 cit1)>, <Op (load-truck obj13 tru1 pos11)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (drive-truck tru2 pos22 apt2 cit2)>, <Op (drive-truck tru1 pos11 apt1 cit1)>, <Op (drive-truck tru2 apt2 pos22 cit2)>, <Op (load-truck obj21 tru2 pos22)>, <Op (drive-truck tru2 pos22 apt2 cit2)>, <Op (unload-truck obj21 tru2 apt2)>, <Op (load-airplane obj21 apn1 apt2)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (unload-airplane obj21 apn1 apt1)>, <Op (load-truck obj21 tru1 apt1)>, <Op (drive-truck tru1 apt1 pos12 cit1)>, <Op (drive-truck tru1 pos12 pos13 cit1)>, <Op (unload-truck obj13 tru1 pos13)>, <Op (drive-truck tru1 pos13 pos11 cit1)>, <Op (load-truck obj11 tru1 pos11)>, <Op (drive-truck tru1 pos11 pos12 cit1)>, <Op (unload-truck obj11 tru1 pos12)>, <Op (drive-truck tru1 pos12 pos11 cit1)>, <Op (unload-truck obj21 tru1 pos11)>]",24,0.20833333333333334,0.8333333333333334
Closest Centroid Approach,"['(at apn1 apt1)', '(at tru1 pos11)', '(at tru2 pos21)', '(at obj11 pos11)', '(at obj12 pos11)', '(at obj13 pos11)', '(at obj21 pos22)', '(at obj22 pos22)']","['(at obj13 pos13)', '(at obj11 pos12)', '(at obj21 pos11)']",0.0006780624389648438,3.9464190006256104,18,"[<Op (load-truck obj13 tru1 pos11)>, <Op (load-truck obj11 tru1 pos11)>, <Op (drive-truck tru2 pos21 pos22 cit2)>, <Op (load-truck obj21 tru2 pos22)>, <Op (drive-truck tru2 pos22 apt2 cit2)>, <Op (unload-truck obj21 tru2 apt2)>, <Op (drive-truck tru1 pos11 apt1 cit1)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (load-airplane obj21 apn1 apt2)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (unload-airplane obj21 apn1 apt1)>, <Op (load-truck obj21 tru1 apt1)>, <Op (drive-truck tru1 apt1 pos12 cit1)>, <Op (unload-truck obj11 tru1 pos12)>, <Op (drive-truck tru1 pos12 pos13 cit1)>, <Op (unload-truck obj13 tru1 pos13)>, <Op (drive-truck tru1 pos13 pos11 cit1)>, <Op (unload-truck obj21 tru1 pos11)>]",18,0,0
All but Real Centroid Approach,"['(at apn1 apt1)', '(at tru1 pos11)', '(at tru2 pos21)', '(at obj11 pos11)', '(at obj12 pos11)', '(at obj13 pos11)', '(at obj21 pos22)', '(at obj22 pos22)']","['(at obj13 pos13)', '(at obj11 pos12)', '(at obj21 pos11)']",0.00036406517028808594,3.9250071048736572,18,"[<Op (load-truck obj13 tru1 pos11)>, <Op (load-truck obj11 tru1 pos11)>, <Op (drive-truck tru2 pos21 pos22 cit2)>, <Op (load-truck obj21 tru2 pos22)>, <Op (drive-truck tru2 pos22 apt2 cit2)>, <Op (unload-truck obj21 tru2 apt2)>, <Op (drive-truck tru1 pos11 apt1 cit1)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (load-airplane obj21 apn1 apt2)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (unload-airplane obj21 apn1 apt1)>, <Op (load-truck obj21 tru1 apt1)>, <Op (drive-truck tru1 apt1 pos12 cit1)>, <Op (unload-truck obj11 tru1 pos12)>, <Op (drive-truck tru1 pos12 pos13 cit1)>, <Op (unload-truck obj13 tru1 pos13)>, <Op (drive-truck tru1 pos13 pos11 cit1)>, <Op (unload-truck obj21 tru1 pos11)>]",18,0,0
Centroid Approach,"['(at apn1 apt1)', '(at tru1 pos11)', '(at tru2 pos21)', '(at obj11 pos11)', '(at obj12 pos11)', '(at obj13 pos11)', '(at obj21 pos22)', '(at obj22 pos22)']","['(at obj13 pos13)', '(at obj11 pos12)', '(at obj21 pos11)']",0.0004642009735107422,2.753023862838745,19,"[<Op (drive-truck tru1 pos11 pos12 cit1)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (drive-truck tru2 pos21 pos22 cit2)>, <Op (load-truck obj21 tru2 pos22)>, <Op (drive-truck tru2 pos22 apt2 cit2)>, <Op (unload-truck obj21 tru2 apt2)>, <Op (load-airplane obj21 apn1 apt2)>, <Op (drive-truck tru1 pos12 apt1 cit1)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (unload-airplane obj21 apn1 apt1)>, <Op (load-truck obj21 tru1 apt1)>, <Op (drive-truck tru1 apt1 pos11 cit1)>, <Op (load-truck obj13 tru1 pos11)>, <Op (load-truck obj11 tru1 pos11)>, <Op (unload-truck obj21 tru1 pos11)>, <Op (drive-truck tru1 pos11 pos12 cit1)>, <Op (unload-truck obj11 tru1 pos12)>, <Op (drive-truck tru1 pos12 pos13 cit1)>, <Op (unload-truck obj13 tru1 pos13)>]",19,0.05263157894736842,1.0
R-Centroid Approach,"['(at apn1 apt1)', '(at tru1 pos11)', '(at tru2 pos21)', '(at obj11 pos11)', '(at obj12 pos11)', '(at obj13 pos11)', '(at obj21 pos22)', '(at obj22 pos22)']","['(at obj13 pos13)', '(at obj11 pos12)', '(at obj21 pos11)']",0.000225067138671875,2.733164072036743,19,"[<Op (drive-truck tru1 pos11 pos12 cit1)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (drive-truck tru2 pos21 pos22 cit2)>, <Op (load-truck obj21 tru2 pos22)>, <Op (drive-truck tru2 pos22 apt2 cit2)>, <Op (unload-truck obj21 tru2 apt2)>, <Op (load-airplane obj21 apn1 apt2)>, <Op (drive-truck tru1 pos12 apt1 cit1)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (unload-airplane obj21 apn1 apt1)>, <Op (load-truck obj21 tru1 apt1)>, <Op (drive-truck tru1 apt1 pos11 cit1)>, <Op (load-truck obj13 tru1 pos11)>, <Op (load-truck obj11 tru1 pos11)>, <Op (unload-truck obj21 tru1 pos11)>, <Op (drive-truck tru1 pos11 pos12 cit1)>, <Op (unload-truck obj11 tru1 pos12)>, <Op (drive-truck tru1 pos12 pos13 cit1)>, <Op (unload-truck obj13 tru1 pos13)>]",19,0.05263157894736842,1.0
